기준년월,기초지자체,중분류,소비액(천원)
20220217,천안시 동남구,기타숙박,5095
20220217,천안시 동남구,관광기념품,932
20220217,천안시 동남구,레저용품쇼핑,12437
20220217,천안시 동남구,대형쇼핑몰,79987
20220217,천안시 동남구,관광유원시설,220
20220217,천안시 동남구,골프장,17403
20220217,천안시 동남구,기타레저,925
20220217,천안시 동남구,문화서비스,890
20220217,천안시 동남구,식음료,175407
20220218,천안시 동남구,콘도,3114
20220218,천안시 동남구,캠핑장/펜션,273
20220218,천안시 동남구,기타숙박,5909
20220218,천안시 동남구,레저용품쇼핑,15843
20220218,천안시 동남구,대형쇼핑몰,138657
20220218,천안시 동남구,관광유원시설,989
20220218,천안시 동남구,골프장,30006
20220218,천안시 동남구,기타레저,1139
20220218,천안시 동남구,문화서비스,1110
20220218,천안시 동남구,식음료,213611
20220219,천안시 동남구,호텔,280
20220219,천안시 동남구,콘도,10866
20220219,천안시 동남구,캠핑장/펜션,260
20220219,천안시 동남구,기타숙박,8624
20220219,천안시 동남구,관광기념품,1102
20220219,천안시 동남구,레저용품쇼핑,26243
20220219,천안시 동남구,대형쇼핑몰,221446
20220219,천안시 동남구,관광유원시설,1107
20220219,천안시 동남구,골프장,35476
20220219,천안시 동남구,기타레저,2178
20220219,천안시 동남구,문화서비스,2198
20220219,천안시 동남구,식음료,303664
20220220,천안시 동남구,콘도,10435
20220220,천안시 동남구,캠핑장/펜션,129
20220220,천안시 동남구,기타숙박,6927
20220220,천안시 동남구,관광기념품,748
20220220,천안시 동남구,레저용품쇼핑,17476
20220220,천안시 동남구,대형쇼핑몰,230213
20220220,천안시 동남구,관광유원시설,772
20220220,천안시 동남구,골프장,34155
20220220,천안시 동남구,기타레저,2386
20220220,천안시 동남구,문화서비스,2824
20220220,천안시 동남구,식음료,251212
20220221,천안시 동남구,호텔,680
20220221,천안시 동남구,콘도,4173
20220221,천안시 동남구,캠핑장/펜션,156
20220221,천안시 동남구,기타숙박,8936
20220221,천안시 동남구,관광기념품,1236
20220221,천안시 동남구,레저용품쇼핑,7942
20220221,천안시 동남구,대형쇼핑몰,108221
20220221,천안시 동남구,관광유원시설,933
